date,package,version,unpacked_bytes,file_count,direct_deps,tree_size
2026-07-27,@angular/core,22.0.8,7114172,102,1,2
2026-07-27,@babel/core,8.0.1,544874,32,16,38
2026-07-27,@nestjs/core,11.1.28,609071,381,5,7
2026-07-27,@reduxjs/toolkit,2.12.0,6027107,172,6,7
2026-07-27,@sveltejs/kit,2.70.1,1295246,194,12,16
2026-07-27,@swc/core,1.15.46,133598,14,2,15
2026-07-27,@tanstack/react-query,5.101.4,858903,329,1,2
2026-07-27,@testing-library/react,16.3.2,336758,25,1,2
2026-07-27,@trpc/server,11.18.0,2092106,256,0,1
2026-07-27,alpinejs,3.15.12,564005,67,1,3
2026-07-27,astro,7.1.4,2877096,1296,53,
2026-07-27,axios,1.18.1,1772607,85,4,30
2026-07-27,chalk,6.0.0,56029,12,0,1
2026-07-27,chart.js,4.5.1,6178899,117,1,2
2026-07-27,commander,15.0.0,207368,12,0,1
2026-07-27,cypress,15.19.0,4476744,835,39,177
2026-07-27,d3,7.9.0,871285,6,30,38
2026-07-27,date-fns,4.4.0,10902084,5136,0,1
2026-07-27,dayjs,1.11.21,680086,451,0,1
2026-07-27,dotenv,17.4.2,103493,14,0,
2026-07-27,drizzle-orm,0.45.2,10420427,2666,0,1
2026-07-27,esbuild,0.28.1,146953,7,0,27
2026-07-27,eslint,10.8.0,2921452,420,30,69
2026-07-27,express,5.2.1,75429,10,28,70
2026-07-27,fastify,5.10.0,2868322,359,15,49
2026-07-27,framer-motion,12.42.2,4787682,382,3,4
2026-07-27,hono,4.12.32,1356344,562,0,1
2026-07-27,husky,9.1.7,4041,7,0,1
2026-07-27,ioredis,5.11.1,858494,89,7,9
2026-07-27,jest,30.4.2,6698,7,4,324
2026-07-27,joi,18.2.3,1890424,39,7,8
2026-07-27,jotai,2.20.2,541092,226,0,1
2026-07-27,knex,3.3.0,941393,183,14,23
2026-07-27,koa,3.2.1,65032,11,18,36
2026-07-27,lit,3.3.3,106390,312,3,6
2026-07-27,lodash,4.18.1,1413741,1051,0,1
2026-07-27,mocha,11.7.6,2309588,70,21,94
2026-07-27,moment,2.30.1,4350323,539,0,1
2026-07-27,mongoose,9.8.1,2109655,300,7,
2026-07-27,mysql2,3.23.2,573737,130,8,
2026-07-27,next,16.2.12,155398744,8094,6,49
2026-07-27,nuxt,4.5.1,1167445,298,59,
2026-07-27,nx,23.1.0,17064450,1246,115,126
2026-07-27,openai,6.49.0,12468421,2701,0,1
2026-07-27,parcel,2.16.4,44032,8,15,171
2026-07-27,pg,8.22.0,95249,20,6,14
2026-07-27,pinia,4.0.2,187290,9,1,2
2026-07-27,playwright,1.62.0,5074702,62,1,3
2026-07-27,postcss,8.5.23,216017,55,3,4
2026-07-27,preact,10.29.7,1561540,131,0,1
2026-07-27,prettier,3.9.6,9954439,56,0,1
