package,version,published,unpacked_bytes,file_count,direct_deps,tree_size
@angular/core,5.2.4,2018-02-07,7220954,144,1,2
@angular/core,5.2.5,2018-02-14,7222099,144,1,
@angular/core,5.2.6,2018-02-22,7227543,144,1,
@angular/core,5.2.7,2018-02-28,7227543,144,1,
@angular/core,5.2.8,2018-03-07,7227543,144,1,
@angular/core,5.2.9,2018-03-14,7227543,144,1,
@angular/core,4.4.7,2018-04-16,5398397,135,1,2
@angular/core,5.2.10,2018-04-16,7233896,144,1,
@angular/core,6.0.0,2018-05-03,13319657,464,1,
@angular/core,6.0.1,2018-05-11,13331113,464,1,
@angular/core,6.0.2,2018-05-15,13331112,464,1,
@angular/core,5.2.11,2018-05-16,7233896,144,1,
@angular/core,6.0.3,2018-05-22,13331099,464,1,
@angular/core,6.0.4,2018-06-06,13194825,464,1,
@angular/core,6.0.5,2018-06-13,13179645,464,1,
@angular/core,6.0.6,2018-06-20,13160226,464,1,
@angular/core,6.0.7,2018-06-28,13174070,464,1,
@angular/core,6.0.8,2018-07-11,13266358,464,1,2
@angular/core,6.0.9,2018-07-11,13266358,464,1,
@angular/core,6.1.0,2018-07-25,15525662,530,1,
@angular/core,6.1.1,2018-08-02,15457456,527,1,
@angular/core,6.1.2,2018-08-08,15462683,527,1,
@angular/core,6.1.3,2018-08-15,15461725,527,1,
@angular/core,6.1.4,2018-08-22,15461959,527,1,
@angular/core,6.1.6,2018-08-29,15461959,527,1,
@angular/core,6.1.7,2018-09-06,15462662,527,1,
@angular/core,6.1.8,2018-09-19,15494146,527,1,
@angular/core,6.1.9,2018-09-26,15491918,527,1,
@angular/core,6.1.10,2018-10-10,15491940,527,1,2
@angular/core,7.0.0,2018-10-18,17649094,590,1,
@angular/core,7.0.1,2018-10-24,17978650,596,1,
@angular/core,7.0.2,2018-10-31,17956374,602,1,
@angular/core,7.0.3,2018-11-07,17956374,602,1,
@angular/core,7.0.4,2018-11-14,17933591,602,1,
@angular/core,7.1.0,2018-11-21,19430121,606,1,
@angular/core,7.1.1,2018-11-28,19441164,605,1,
@angular/core,7.1.2,2018-12-06,19441211,605,1,
@angular/core,7.1.3,2018-12-11,19443408,605,1,
@angular/core,7.1.4,2018-12-18,19571934,605,1,
@angular/core,7.2.0,2019-01-07,20661604,611,1,2
@angular/core,7.2.1,2019-01-16,20659620,611,1,
@angular/core,7.2.2,2019-01-22,20659620,611,1,
@angular/core,7.2.3,2019-01-30,20660232,611,1,
@angular/core,7.2.4,2019-02-06,20661507,611,1,
@angular/core,7.2.5,2019-02-15,20708013,611,1,
@angular/core,7.2.6,2019-02-20,20709225,611,1,
@angular/core,7.2.7,2019-02-27,20722093,611,1,
@angular/core,7.2.8,2019-03-06,20724772,611,1,
@angular/core,7.2.9,2019-03-12,20724762,611,1,
@angular/core,7.2.10,2019-03-20,20725169,611,1,
@angular/core,7.2.11,2019-03-26,20726180,611,1,
@angular/core,7.2.12,2019-04-03,20728232,611,1,2
@angular/core,7.2.13,2019-04-13,20728232,611,1,
@angular/core,7.2.14,2019-04-23,20728232,611,1,
@angular/core,7.2.15,2019-05-07,20728232,611,1,
@angular/core,8.0.0,2019-05-28,24573637,590,1,
@angular/core,8.0.1,2019-06-13,24587168,590,1,
@angular/core,8.0.2,2019-06-19,24589366,590,1,
@angular/core,8.0.3,2019-06-26,24590401,590,1,
@angular/core,8.1.0,2019-07-02,26388657,626,1,2
@angular/core,8.1.1,2019-07-10,26396323,626,1,
@angular/core,8.1.2,2019-07-17,26397101,626,1,
@angular/core,8.1.3,2019-07-26,26397101,626,1,
@angular/core,8.2.0,2019-07-31,25575069,620,1,
@angular/core,8.2.1,2019-08-08,25586265,620,1,
@angular/core,8.2.2,2019-08-12,25963455,620,1,
@angular/core,8.2.3,2019-08-21,25932925,614,1,
@angular/core,8.2.4,2019-08-28,25932925,614,1,
@angular/core,8.2.5,2019-09-04,25932817,614,1,
@angular/core,8.2.6,2019-09-11,25932925,614,1,
@angular/core,8.2.7,2019-09-18,25932925,614,1,
@angular/core,8.2.8,2019-09-25,25932925,614,1,
@angular/core,8.2.9,2019-10-02,25932677,614,1,2
@angular/core,8.2.10,2019-10-09,25930863,614,1,
@angular/core,8.2.11,2019-10-15,25930723,614,1,
@angular/core,8.2.12,2019-10-23,25931368,614,1,
@angular/core,8.2.13,2019-10-30,25931368,614,1,
@angular/core,8.2.14,2019-11-13,25931453,614,1,
@angular/core,7.2.16,2020-01-08,20728232,611,1,2
@angular/core,9.0.0,2020-02-06,27491764,674,0,
@angular/core,9.0.1,2020-02-12,27504071,676,0,
@angular/core,9.0.2,2020-02-19,27589490,676,0,
@angular/core,9.0.3,2020-02-27,27815904,678,0,
